"platform","brand","keyword_matched","text","created_at","date","author","like_count","repost_count","post_uri"
"Bluesky","galaxy s","galaxy s","Samsung’un Gizli Silahı Başarılı Olursa Snapdragon’u Tahtından Edebilir Samsung ve Qualcomm arasındaki iş birliği çok yakında sonlanabilir. Uzun zamandır başta Galaxy S serisi olmak üzere birçok akıllı telefon modelinde Qualcomm'un işlemcilerini kullanan Samsung'un yakın gelecekte bu stratejisini…","2025-12-29T12:01:35Z","2025-12-29 12:01:35+00:00","ercanceviz.bsky.social","0","0","at://did:plc:v7nvkhezqq33xrcgasafhbw4/app.bsky.feed.post/3mb4s2ou7yv2o"
"Bluesky","galaxy z","galaxy z","Feed: ""Latest from TechRadar"" By: David Nield on Sunday, December 28, 2025","2025-12-29T12:02:12.767703+00:00","2025-12-29 12:02:12.767703+00:00","longtail-news.bsky.social","0","0","at://did:plc:o6ggjvnj4ze3mnrpnv5oravg/app.bsky.feed.post/3mb4s3thhzd27"
"Bluesky","galaxy s","galaxy s","An analyst states that Samsung will not be injecting millions into its in-house CPU and GPU designs just for the Exynos SoC to be found in few Galaxy S shipments","2025-12-29T13:08:28.769401+00:00","2025-12-29 13:08:28.769401+00:00","technology-news.bsky.social","1","0","at://did:plc:fsftz5ue2bvlvkb6zx2bqdnh/app.bsky.feed.post/3mb4vsawby62z"
"Bluesky","galaxy z","galaxy z","Interview] ‘I Came to Korea for This’: A Journalist With 1,800 Phones on Galaxy Z TriFold [https://news.samsung.com/global/interview-i-came-to-korea-for-this-a-journalist-with-1800-phones-on-galaxy-z-trifold","2025-12-29T13:27:13.000Z","2025-12-29 13:27:13+00:00","primusnews.mastodon.social.ap.brid.gy","0","0","at://did:plc:apumzw5m6ig6grmqnkowqstu/app.bsky.feed.post/3mb4wtxoyj222"
"Bluesky","galaxy z","galaxy z","Samsung Galaxy Z TriFold bezwijkt ondanks populariteit onder druk  Populair of niet: als de TriFold bij een buigtest al in elkaar stort, bewaren wij ’m liever in een museum dan in onze broekzak.","2025-12-29T14:30:38+01:00","2025-12-29 13:30:38+00:00","nieuwemobiel.nl","0","0","at://did:plc:jpsi77obepmpwj4pok3knjcg/app.bsky.feed.post/3mb4wzvge5i2e"
"Bluesky","galaxy s","galaxy s","These 5 Samsung Galaxy S26 Features Will Make It Hard To Beat In 2026 Samsung's Android rivals may now offer stiff competition, but the Galaxy S26's new features look like it'll it at t... #Android Origin | Interest | Match","2025-12-29T13:45:00.000Z","2025-12-29 13:45:00+00:00","android.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:etkadjdby46s2skc4shoxp6q/app.bsky.feed.post/3mb4yxlektz32"
"Bluesky","galaxy s","galaxy s","Samsung and Google partner to bring Google Photos to TizenOS-powered TVs, launching in March 2026 and showing curated memories, ahead of CES 2026 (Rajesh Pandey/Android Police) Rajesh Pandey / Andr... Origin | Interest | Match","2025-12-29T14:20:01.000Z","2025-12-29 14:20:01+00:00","android.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:etkadjdby46s2skc4shoxp6q/app.bsky.feed.post/3mb5szuoy2sf2"
"Bluesky","galaxy note","galaxy note","Samsung's Year End Sale Introduces Major Discounts on Popular Monitors and TVs","2025-12-29T14:33:33Z","2025-12-29 14:33:33+00:00","macrumors.bsky.social","7","0","at://did:plc:ritv6l6udmzeuwbit4omuq4x/app.bsky.feed.post/3mb52kffagr2d"
"Bluesky","galaxy z","galaxy z","A Journalist With 1,800 Phones Flew to Korea for Samsung’s Galaxy Z TriFold, Here’s What He Found Summary: Yasuhiro Yamane, a Japanese IT journalist with over 1,800 phones in his collection, traveled from Hong Kong to Korea specifically to purchase Samsung's Galaxy Z TriFold, the company's first…","2025-12-29T14:34:01Z","2025-12-29 14:34:01+00:00","adwaitx.bsky.social","0","0","at://did:plc:mf2lbylsnjofccgl7qtkjuuk/app.bsky.feed.post/3mb52laya2s2i"
"Bluesky","galaxy s","galaxy s","Now, in that specific case, violence wasn't required at all. But, in the more general case, that was a highly advanced civilization(s) that would have outclassed the guard at a horrific casualty ratio. It's important to restate that Big E had no idea what was out there, the galaxy was a mystery.","2025-12-29T15:50:01.268Z","2025-12-29 15:50:01.268000+00:00","caliginouscalico.bsky.social","1","0","at://did:plc:bql3645pbjfpncaxay6tsgut/app.bsky.feed.post/3mb56t4cvts2z"
